acc_train,acc_val,n_estimators,max_depth,min_samples_leaf,max_features
0.815,0.7894995269780956,50,None,17,0.2
0.81315,0.7838996392312275,50,None,17,0.3
0.81545,0.7822998516093658,50,None,17,0.4
0.81575,0.7812499516343719,50,None,17,0.5
0.81575,0.7794000890062555,50,None,17,0.6
0.83515,0.8128985531905346,50,None,18,auto
0.8111,0.7885496644562291,50,None,18,0.2
0.81525,0.7828497891687369,50,None,18,0.3
0.80965,0.7823997641187352,50,None,18,0.4
0.8118,0.7786004764531548,50,None,18,0.5
0.81245,0.7781000139312508,50,None,18,0.6
0.837,0.8109494281530892,50,None,19,auto
0.81025,0.7851497642749853,50,None,19,0.2
0.8079,0.7821002766281422,50,None,19,0.3
0.80915,0.7821502141062633,50,None,19,0.4
0.8106,0.779050238981265,50,None,19,0.5
0.81095,0.779000063968754,50,None,19,0.6
0.83365,0.8119994032155878,50,None,20,auto
0.8109,0.786449776846861,50,None,20,0.2
0.8077,0.7817003641187728,50,None,20,0.3
0.8068,0.7784498764343672,50,None,20,0.4
0.8077,0.7785002389250149,50,None,20,0.5
0.809,0.7771501513968845,50,None,20,0.6
0.7755,0.7763496763906048,50,5,1,auto
0.70865,0.7125504731219046,50,5,1,0.2
0.70315,0.7016001100875069,50,5,1,0.3
0.6995,0.6976502223843889,50,5,1,0.4
0.70345,0.6964003098500194,50,5,1,0.5
0.70115,0.6962501722968858,50,5,1,0.6
0.7867,0.7678986758405422,50,5,2,auto
0.7124,0.7102496605062287,50,5,2,0.2
0.70405,0.7008001725843858,50,5,2,0.3
0.7017,0.6983000849375053,50,5,2,0.4
0.7009,0.6969500848687553,50,5,2,0.5
0.70085,0.6969001848687615,50,5,2,0.6
0.78025,0.7683982259967641,50,5,3,auto
0.70645,0.7220511486906969,50,5,3,0.2
0.70525,0.7009500100875006,50,5,3,0.3
0.7028,0.6969500348687522,50,5,3,0.4
0.70085,0.696950097359381,50,5,3,0.5
0.7002,0.6968001348687585,50,5,3,0.6
0.78685,0.7696975884123491,50,5,4,auto
0.721,0.7142001607687601,50,5,4,0.2
0.7052,0.7014502476281406,50,5,4,0.3
0.7012,0.6971501723718857,50,5,4,0.4
0.7028,0.6961003348312709,50,5,4,0.5
0.7005,0.6962500348437521,50,5,4,0.6
0.7816,0.7736491513718219,50,5,5,auto
0.7175,0.711099535581221,50,5,5,0.2
0.70315,0.6990002599687662,50,5,5,0.3
0.70205,0.698850334975021,50,5,5,0.4
0.7014,0.6972001849062617,50,5,5,0.5
0.7007,0.696300384818774,50,5,5,0.6
0.7612,0.7701995886437244,50,5,6,auto
0.71625,0.7127493106499568,50,5,6,0.2
0.7049,0.699400097484381,50,5,6,0.3
0.7037,0.6986501224593826,50,5,6,0.4
0.69885,0.6957001222906326,50,5,6,0.5
0.7005,0.6963001223281328,50,5,6,0.6
0.77205,0.7675991635186976,50,5,7,auto
0.70615,0.7161018108751133,50,5,7,0.2
0.7049,0.6999502100125132,50,5,7,0.3
0.7014,0.6988001974781374,50,5,7,0.4
0.69885,0.6963999598249975,50,5,7,0.5
0.7003,0.6953499472968717,50,5,7,0.6
0.7883,0.7711503009781436,50,5,8,auto
0.71845,0.7186015482969716,50,5,8,0.2
0.70225,0.7007000100375007,50,5,8,0.3
0.70155,0.6974002849125177,50,5,8,0.4
0.701,0.6972000724093796,50,5,8,0.5
0.69925,0.6957499473156217,50,5,8,0.6
0.77695,0.7708494511968407,50,5,9,auto
0.708,0.7211016361126023,50,5,9,0.2
0.702,0.6991505849937866,50,5,9,0.3
0.6984,0.6991504849562803,50,5,9,0.4
